X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
-10,6,9,0,0,0.000218751
-10,6,10,0,0,0.000221478
-10,7,0,0,0,0
-10,7,1,0,0,3.00595e-05
-10,7,2,0,0,5.93788e-05
-10,7,3,0,0,8.72361e-05
-10,7,4,0,0,0.000112945
-10,7,5,0,0,0.000135873
-10,7,6,0,0,0.000155456
-10,7,7,0,0,0.00017121
-10,7,8,0,0,0.000182749
-10,7,9,0,0,0.000189788
-10,7,10,0,0,0.000192154
-10,8,0,0,0,0
-10,8,1,0,0,2.60548e-05
-10,8,2,0,0,5.14681e-05
-10,8,3,0,0,7.56141e-05
-10,8,4,0,0,9.78982e-05
-10,8,5,0,0,0.000117772
-10,8,6,0,0,0.000134745
-10,8,7,0,0,0.000148401
-10,8,8,0,0,0.000158403
-10,8,9,0,0,0.000164504
-10,8,10,0,0,0.000166554
-10,9,0,0,0,0
-10,9,1,0,0,2.25627e-05
-10,9,2,0,0,4.45698e-05
-10,9,3,0,0,6.54795e-05
-10,9,4,0,0,8.47769e-05
-10,9,5,0,0,0.000101987
-10,9,6,0,0,0.000116685
-10,9,7,0,0,0.000128511
-10,9,8,0,0,0.000137172
-10,9,9,0,0,0.000142455
-10,9,10,0,0,0.000144231
-10,10,0,0,0,0
-10,10,1,0,0,1.95208e-05
-10,10,2,0,0,3.8561e-05
-10,10,3,0,0,5.66516e-05
-10,10,4,0,0,7.33473e-05
-10,10,5,0,0,8.82369e-05
-10,10,6,0,0,0.000100954
-10,10,7,0,0,0.000111185
-10,10,8,0,0,0.000118678
-10,10,9,0,0,0.00012325
-10,10,10,0,0,0.000124786
-9,0,0,0,0,0
-9,0,1,0,0,7.18333e-05
-9,0,2,0,0,0.000141898
-9,0,3,0,0,0.000208468
-9,0,4,0,0,0.000269906
-9,0,5,0,0,0.000324697
-9,0,6,0,0,0.000371494
-9,0,7,0,0,0.000409142
-9,0,8,0,0,0.000436717
-9,0,9,0,0,0.000453538
-9,0,10,0,0,0.000459191
-9,1,0,0,0,0
-9,1,1,0,0,6.28211e-05
-9,1,2,0,0,0.000124095
-9,1,3,0,0,0.000182314
-9,1,4,0,0,0.000236043
-9,1,5,0,0,0.00028396
-9,1,6,0,0,0.000324886
-9,1,7,0,0,0.000357811
-9,1,8,0,0,0.000381926
-9,1,9,0,0,0.000396637
-9,1,10,0,0,0.000401581
-9,2,0,0,0,0
-9,2,1,0,0,5.48737e-05
-9,2,2,0,0,0.000108396
-9,2,3,0,0,0.00015925
-9,2,4,0,0,0.000206182
-9,2,5,0,0,0.000248037
-9,2,6,0,0,0.000283785
-9,2,7,0,0,0.000312545
-9,2,8,0,0,0.000333609
-9,2,9,0,0,0.000346459
-9,2,10,0,0,0.000350777
-9,3,0,0,0,0
-9,3,1,0,0,4.78764e-05
-9,3,2,0,0,9.4574e-05
-9,3,3,0,0,0.000138943
-9,3,4,0,0,0.00017989
-9,3,5,0,0,0.000216408
-9,3,6,0,0,0.000247598
-9,3,7,0,0,0.000272691
-9,3,8,0,0,0.000291069
-9,3,9,0,0,0.00030228
-9,3,10,0,0,0.000306048
-9,4,0,0,0,0
-9,4,1,0,0,4.17249e-05
-9,4,2,0,0,8.24223e-05
-9,4,3,0,0,0.00012109
-9,4,4,0,0,0.000156777
-9,4,5,0,0,0.000188603
