X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
2,1,3,0,0,3.66182e-07
2,1,4,0,0,4.74099e-07
2,1,5,0,0,5.70342e-07
2,1,6,0,0,6.52542e-07
2,1,7,0,0,7.18673e-07
2,1,8,0,0,7.67109e-07
2,1,9,0,0,7.96656e-07
2,1,10,0,0,8.06586e-07
2,2,0,0,0,0
2,2,1,0,0,1.10509e-07
2,2,2,0,0,2.18297e-07
2,2,3,0,0,3.20709e-07
2,2,4,0,0,4.15225e-07
2,2,5,0,0,4.99516e-07
2,2,6,0,0,5.71508e-07
2,2,7,0,0,6.29427e-07
2,2,8,0,0,6.71848e-07
2,2,9,0,0,6.97725e-07
2,2,10,0,0,7.06422e-07
2,3,0,0,0,0
2,3,1,0,0,9.66241e-08
2,3,2,0,0,1.90869e-07
2,3,3,0,0,2.80414e-07
2,3,4,0,0,3.63054e-07
2,3,5,0,0,4.36755e-07
2,3,6,0,0,4.99702e-07
2,3,7,0,0,5.50344e-07
2,3,8,0,0,5.87434e-07
2,3,9,0,0,6.10061e-07
2,3,10,0,0,6.17665e-07
2,4,0,0,0,0
2,4,1,0,0,8.43431e-08
2,4,2,0,0,1.66609e-07
2,4,3,0,0,2.44773e-07
2,4,4,0,0,3.1691e-07
2,4,5,0,0,3.81243e-07
2,4,6,0,0,4.36189e-07
2,4,7,0,0,4.80395e-07
2,4,8,0,0,5.12771e-07
2,4,9,0,0,5.32521e-07
2,4,10,0,0,5.39159e-07
2,5,0,0,0,0
2,5,1,0,0,7.35004e-08
2,5,2,0,0,1.45191e-07
2,5,3,0,0,2.13307e-07
2,5,4,0,0,2.7617e-07
2,5,5,0,0,3.32233e-07
2,5,6,0,0,3.80115e-07
2,5,7,0,0,4.18638e-07
2,5,8,0,0,4.46852e-07
2,5,9,0,0,4.64064e-07
2,5,10,0,0,4.69848e-07
2,6,0,0,0,0
2,6,1,0,0,6.3945e-08
2,6,2,0,0,1.26316e-07
2,6,3,0,0,1.85576e-07
2,6,4,0,0,2.40266e-07
2,6,5,0,0,2.89041e-07
2,6,6,0,0,3.30698e-07
2,6,7,0,0,3.64213e-07
2,6,8,0,0,3.88759e-07
2,6,9,0,0,4.03733e-07
2,6,10,0,0,4.08766e-07
2,7,0,0,0,0
2,7,1,0,0,5.55393e-08
2,7,2,0,0,1.09711e-07
2,7,3,0,0,1.61181e-07
2,7,4,0,0,2.08683e-07
2,7,5,0,0,2.51046e-07
2,7,6,0,0,2.87227e-07
2,7,7,0,0,3.16336e-07
2,7,8,0,0,3.37656e-07
2,7,9,0,0,3.50661e-07
2,7,10,0,0,3.55032e-07
2,8,0,0,0,0
2,8,1,0,0,4.81582e-08
2,8,2,0,0,9.51305e-08
2,8,3,0,0,1.3976e-07
2,8,4,0,0,1.80949e-07
2,8,5,0,0,2.17682e-07
2,8,6,0,0,2.49055e-07
2,8,7,0,0,2.74295e-07
2,8,8,0,0,2.92782e-07
2,8,9,0,0,3.04059e-07
2,8,10,0,0,3.07849e-07
2,9,0,0,0,0
2,9,1,0,0,4.16884e-08
2,9,2,0,0,8.23503e-08
2,9,3,0,0,1.20985e-07
2,9,4,0,0,1.5664e-07
2,9,5,0,0,1.88438e-07
2,9,6,0,0,2.15596e-07
2,9,7,0,0,2.37445e-07
2,9,8,0,0,2.53448e-07
2,9,9,0,0,2.6321e-07
2,9,10,0,0,2.66491e-07
2,10,0,0,0,0
2,10,1,0,0,3.60277e-08
2,10,2,0,0,7.11683e-08
2,10,3,0,0,1.04556e-07
2,10,4,0,0,1.3537e-07
2,10,5,0,0,1.6285e-07
2,10,6,0,0,1.86321e-07
2,10,7,0,0,2.05204e-07
2,10,8,0,0,2.19033e-07
2,10,9,0,0,2.2747e-07
2,10,10,0,0,2.30305e-07
3,0,0,0,0,0
3,0,1,0,0,1.25625e-07
3,0,2,0,0,2.48157e-07
3,0,3,0,0,3.64578e-07
3,0,4,0,0,4.72022e-07
3,0,5,0,0,5.67844e-07
3,0,6,0,0,6.49683e-07
3,0,7,0,0,7.15525e-07
3,0,8,0,0,7.63748e-07
3,0,9,0,0,7.93165e-07
3,0,10,0,0,8.03052e-07
3,1,0,0,0,0
3,1,1,0,0,1.10267e-07
3,1,2,0,0,2.1782e-07
3,1,3,0,0,3.20008e-07
3,1,4,0,0,4.14318e-07
3,1,5,0,0,4.98425e-07
3,1,6,0,0,5.70259e-07
3,1,7,0,0,6.28052e-07
3,1,8,0,0,6.7038e-07
3,1,9,0,0,6.96201e-07
3,1,10,0,0,7.04879e-07
3,2,0,0,0,0
3,2,1,0,0,9.66241e-08
3,2,2,0,0,1.90869e-07
3,2,3,0,0,2.80414e-07
3,2,4,0,0,3.63054e-07
3,2,5,0,0,4.36755e-07
3,2,6,0,0,4.99702e-07
3,2,7,0,0,5.50344e-07
3,2,8,0,0,5.87434e-07
3,2,9,0,0,6.10061e-07
3,2,10,0,0,6.17665e-07
3,3,0,0,0,0
3,3,1,0,0,8.45264e-08
3,3,2,0,0,1.66972e-07
3,3,3,0,0,2.45305e-07
3,3,4,0,0,3.17599e-07
3,3,5,0,0,3.82072e-07
3,3,6,0,0,4.37137e-07
3,3,7,0,0,4.81439e-07
3,3,8,0,0,5.13886e-07
3,3,9,0,0,5.33679e-07
3,3,10,0,0,5.40331e-07
3,4,0,0,0,0
3,4,1,0,0,7.38192e-08
3,4,2,0,0,1.45821e-07
3,4,3,0,0,2.14232e-07
3,4,4,0,0,2.77367e-07
3,4,5,0,0,3.33674e-07
3,4,6,0,0,3.81764e-07
3,4,7,0,0,4.20453e-07
3,4,8,0,0,4.4879e-07
3,4,9,0,0,4.66076e-07
3,4,10,0,0,4.71886e-07
3,5,0,0,0,0
3,5,1,0,0,6.436e-08
3,5,2,0,0,1.27135e-07
3,5,3,0,0,1.8678e-07
3,5,4,0,0,2.41826e-07
3,5,5,0,0,2.90917e-07
3,5,6,0,0,3.32844e-07
3,5,7,0,0,3.66576e-07
3,5,8,0,0,3.91282e-07
3,5,9,0,0,4.06353e-07
3,5,10,0,0,4.11418e-07
3,6,0,0,0,0
3,6,1,0,0,5.60187e-08
3,6,2,0,0,1.10658e-07
3,6,3,0,0,1.62573e-07
3,6,4,0,0,2.10484e-07
3,6,5,0,0,2.53213e-07
3,6,6,0,0,2.89707e-07
3,6,7,0,0,3.19067e-07
3,6,8,0,0,3.40571e-07
3,6,9,0,0,3.53688e-07
3,6,10,0,0,3.58097e-07
3,7,0,0,0,0
3,7,1,0,0,4.86767e-08
3,7,2,0,0,9.61548e-08
3,7,3,0,0,1.41265e-07
3,7,4,0,0,1.82897e-07
3,7,5,0,0,2.20026e-07
3,7,6,0,0,2.51737e-07
3,7,7,0,0,2.77249e-07
3,7,8,0,0,2.95934e-07
3,7,9,0,0,3.07333e-07
3,7,10,0,0,3.11164e-07
3,8,0,0,0,0
3,8,1,0,0,4.2226e-08
3,8,2,0,0,8.34122e-08
3,8,3,0,0,1.22544e-07
3,8,4,0,0,1.58659e-07
3,8,5,0,0,1.90868e-07
3,8,6,0,0,2.18376e-07
3,8,7,0,0,2.40507e-07
3,8,8,0,0,2.56716e-07
3,8,9,0,0,2.66604e-07
3,8,10,0,0,2.69927e-07
3,9,0,0,0,0
3,9,1,0,0,3.65686e-08
3,9,2,0,0,7.22367e-08
3,9,3,0,0,1.06126e-07
3,9,4,0,0,1.37402e-07
3,9,5,0,0,1.65295e-07
3,9,6,0,0,1.89118e-07
3,9,7,0,0,2.08284e-07
3,9,8,0,0,2.22322e-07
3,9,9,0,0,2.30885e-07
3,9,10,0,0,2.33763e-07
3,10,0,0,0,0
3,10,1,0,0,3.16159e-08
3,10,2,0,0,6.24534e-08
3,10,3,0,0,9.1753e-08
3,10,4,0,0,1.18793e-07
3,10,5,0,0,1.42909e-07
3,10,6,0,0,1.63505e-07
3,10,7,0,0,1.80075e-07
3,10,8,0,0,1.92212e-07
3,10,9,0,0,1.99615e-07
3,10,10,0,0,2.02103e-07
4,0,0,0,0,0
4,0,1,0,0,1.09546e-07
4,0,2,0,0,2.16395e-07
4,0,3,0,0,3.17916e-07
4,0,4,0,0,4.11608e-07
4,0,5,0,0,4.95165e-07
4,0,6,0,0,5.6653e-07
4,0,7,0,0,6.23945e-07
4,0,8,0,0,6.65996e-07
4,0,9,0,0,6.91648e-07
4,0,10,0,0,7.0027e-07
4,1,0,0,0,0
4,1,1,0,0,9.62039e-08
4,1,2,0,0,1.90039e-07
4,1,3,0,0,2.79195e-07
4,1,4,0,0,3.61476e-07
4,1,5,0,0,4.34856e-07
4,1,6,0,0,4.97529e-07
4,1,7,0,0,5.4795e-07
4,1,8,0,0,5.8488e-07
4,1,9,0,0,6.07408e-07
4,1,10,0,0,6.14979e-07
4,2,0,0,0,0
4,2,1,0,0,8.43431e-08
4,2,2,0,0,1.66609e-07
4,2,3,0,0,2.44773e-07
4,2,4,0,0,3.1691e-07
4,2,5,0,0,3.81243e-07
4,2,6,0,0,4.36189e-07
4,2,7,0,0,4.80395e-07
4,2,8,0,0,5.12771e-07
4,2,9,0,0,5.32521e-07
4,2,10,0,0,5.39159e-07
4,3,0,0,0,0
4,3,1,0,0,7.38192e-08
4,3,2,0,0,1.45821e-07
4,3,3,0,0,2.14232e-07
4,3,4,0,0,2.77367e-07
4,3,5,0,0,3.33674e-07
4,3,6,0,0,3.81764e-07
4,3,7,0,0,4.20453e-07
4,3,8,0,0,4.4879e-07
4,3,9,0,0,4.66076e-07
4,3,10,0,0,4.71886e-07
4,4,0,0,0,0
4,4,1,0,0,6.44989e-08
4,4,2,0,0,1.2741e-07
4,4,3,0,0,1.87183e-07
4,4,4,0,0,2.42348e-07
4,4,5,0,0,2.91545e-07
4,4,6,0,0,3.33563e-07
4,4,7,0,0,3.67368e-07
4,4,8,0,0,3.92127e-07
4,4,9,0,0,4.0723e-07
4,4,10,0,0,4.12306e-07
4,5,0,0,0,0
4,5,1,0,0,5.62601e-08
4,5,2,0,0,1.11135e-07
4,5,3,0,0,1.63273e-07
4,5,4,0,0,2.11391e-07
4,5,5,0,0,2.54304e-07
4,5,6,0,0,2.90955e-07
4,5,7,0,0,3.20441e-07
4,5,8,0,0,3.42038e-07
4,5,9,0,0,3.55212e-07
4,5,10,0,0,3.5964e-07
4,6,0,0,0,0
4,6,1,0,0,4.89906e-08
4,6,2,0,0,9.67748e-08
4,6,3,0,0,1.42176e-07
4,6,4,0,0,1.84077e-07
4,6,5,0,0,2.21445e-07
